bead,C_rep,b,C_att,C
B,"[3.6175947431201734, 3.708048218090071, 3.856224940281715]","[0.0031177424772301037, 0.36100311625447595, 0.00992308990780487]","[18.222865363296197, 19.766724233107716, 14.142634531961924]","[11.247630403437888, 11.173646491131583, 10.997168222328172]"
C,"[3.1138310122809743, 2.7964118864793006, 4.604180592937587]","[2.2250055584127506, 2.4120593475922987, 2.6780524461794815]","[3.3836468860281617, 3.498098630822221, 4.7879622465508005]","[10.76127280539428, 10.512627454483777, 10.295504706108556]"
N,"[4.133119629747181, 3.1385806353666923, 3.55399801226002]","[0.21667599117965733, 1.0471491399822965, 0.06880941476277186]","[7.776851231033552, 7.708703253966309, 8.5504678833149]","[10.143136280385665, 10.020906112967891, 9.930777911731168]"
S1,"[3.1842804684655284, 3.881855929368339, 3.796254724821471]","[0.13420768950033266, 0.9707514710396433, 0.027952694800411952]","[6.21030235921683, 9.141249554928034, 9.353159939147476]","[9.866306137000116, 9.82396758560306, 9.801103926047523]"
S10,"[3.562649490892406, 3.940825939565661, 2.824433890991105]","[0.27367631335027487, 1.1680958214491428, 0.16259612308286284]","[8.736557712136646, 7.318968469900541, 8.521622447860839]","[9.778951921014714, 9.756899995812404, 9.732695337690346]"
S11,"[4.877198151013557, 3.3521428279532657, 2.548323149416318]","[0.20233844454372218, 0.32809195952428344, 0.24643963922026177]","[17.13597425473939, 7.784246832704856, 7.237565745334936]","[9.70124900679865, 9.674568287382991, 9.62734740797416]"
S12,"[3.7979337733155196, 3.087400742019856, 3.9724825995884454]","[0.49753985955915764, 1.342257398914527, 0.3966285525452635]","[8.990748152901237, 3.795032375379885, 6.636794781687434]","[9.560671514862376, 9.479524691750886, 9.379115617247813]"
S13,"[4.880850454539968, 3.1220920079304673, 2.815583969053539]","[0.3142615631834803, 0.3531249651116306, 0.2730893744095457]","[13.988132228243641, 5.690405215225106, 8.236627333496262]","[9.270587318750897, 9.14473437381275, 9.026775149572996]"
S14,"[3.7467618731439436, 2.7310652739003083, 4.3146979694408705]","[0.6438037692494222, 1.4275085757098092, 0.3839716279823658]","[7.677061609442651, 3.772404049553277, 6.854969903584021]","[8.91644648193667, 8.814646423845328, 8.730256706668111]"
S15,"[3.251016088636792, 3.2930492567455003, 4.3523398768146055]","[3.541152408507863e-24, 0.5964754455840033, 0.04089560518867767]","[13.677439783529904, 10.5664572819839, 12.23330088340037]","[8.68284110766541, 8.642533903977384, 8.618193189931487]"
S16,"[4.6543772565870425, 2.6011418796349113, 3.7521115695280196]","[8.772455018938196, 1.9952524386430417, 0.5273901495548787]","[4.442982140430563, 4.924124992037959, 1.2301421867232492]","[8.605377598790781, 8.614871751491103, 8.622646670774932]"
S17,"[2.315713262941675, 4.290309033503333, 3.5145699857881936]","[0.8073494143199733, 2.1986716306794514, 2.274321993039964]","[3.980919894768981, 4.078608949381754, 5.083050137420873]","[8.63991503576957, 8.653108022647304, 8.676162929343594]"
S18,"[2.303626230732486, 4.513877899229775, 3.263186762381695]","[0.318670807552912, 2.520670111871412, 3.185159289925187]","[3.060610831669681, 4.384268901824589, 4.631639937499496]","[8.6974157386588, 8.728425064478035, 8.768338204741013]"
S19,"[3.0936320028465674, 2.7356978235435174, 4.60092687556855]","[9.99999956165877, 0.8323139544354702, 9.999999999959435]","[1.9423906247369023, 3.0458232355026253, 3.8519836505366674]","[8.804885512997519, 8.85224884525726, 8.903947713255564]"
S2,"[3.2831726943380777, 3.657793193682021, 3.8859227893882555]","[0.07841591818804465, 0.5855874893385508, 0.01234901939686362]","[11.690756867508444, 12.189560046736272, 11.76308021671124]","[8.955503976659147, 9.012844012539084, 9.06696629176093]"
S20,"[3.5341575674170174, 3.619611479759059, 3.8347815436454247]","[0.045274632271378214, 0.5839192452824702, 0.005414710494668421]","[11.366433451898844, 14.050697930980437, 11.370932701840387]","[9.120849472040339, 9.178506621415476, 9.227585594076167]"
S21,"[2.991762165934233, 4.389538340111205, 2.9380021972623656]","[5.07821929797939, 2.3315567612138235, 9.664111455079611]","[0.07291704701084328, 4.607305921434381, 4.745548817367325]","[9.278783915333127, 9.33245495646404, 9.379578211769498]"
S22,"[3.355376062375308, 3.194535784206744, 4.370219976610623]","[9.77512360869623e-24, 0.3980386698768127, 0.01661463333819048]","[17.039057571223022, 7.089139884524699, 16.527152739966642]","[9.436439022307646, 9.482916870265692, 9.534237841857587]"
S23,"[3.406259151226772, 2.0728373609627764, 5.1852736673877375]","[9.999995457699253, 6.0966161680669435e-24, 9.999999999999998]","[2.593863535528247, 2.0802053666508886, 4.034728999960354]","[9.578876458305437, 9.61872887690988, 9.660809170292051]"
S24,"[1.7873721164344398, 4.908177103248481, 2.9425227985458995]","[1.8345969317127745e-05, 2.5892219768621363, 8.819718998686922]","[1.5560204872199157, 5.472028911929884, 3.2079766386164654]","[9.692163333696806, 9.723129195316325, 9.754044266090032]"
S25,"[3.4524217355135374, 3.8297874556067466, 3.8377288124820255]","[0.009416015150036533, 0.33291669691664294, 0.03389955772237652]","[17.90652457352229, 19.179202079713818, 14.50637822849127]","[9.789997418997821, 9.806982011932757, 9.837701101247573]"
S26,"[3.3478788474563337, 4.022157086695568, 3.3633690866004033]","[0.264706636281307, 1.6259556536599835, 0.7764485513859636]","[7.192533571849973, 4.537022636011457, 5.067302424090663]","[9.858118577005115, 9.87723357833143, 9.893379955545726]"
S27,"[3.4631569240856717, 3.770341264261371, 3.752751676714145]","[0.09389650662901784, 0.6931590439413092, 2.738778229506533e-11]","[11.30298570530265, 12.682653114607517, 10.430301806379457]","[9.91129086525492, 9.92877646918685, 9.943005841788892]"
S28,"[3.2289899230181898, 4.470007978648513, 3.043909817533782]","[0.3334153527040411, 1.540023272300571, 0.34967596746791096]","[6.007142297253334, 7.154463354700008, 5.586470946606645]","[9.955944087131144, 9.972091839620669, 9.98603391664892]"
S29,"[4.001005119921093, 3.3875873113797663, 3.46478622834109]","[0.2969997135741766, 1.021249253984989, 0.026501998720047243]","[6.339041367617951, 5.996115868972209, 10.864937288077558]","[10.002337708846902, 10.011690590869256, 10.026647507954827]"
S30,"[3.2370716457012794, 3.699680759055275, 4.039261569175433]","[0.0678341926591394, 0.6576937289518918, 2.469939915536401e-10]","[9.38529250484921, 11.699469960080615, 13.287695161609747]","[10.04466422770922, 10.06204190480266, 10.08041955997835]"
S31,"[4.099840499990955, 3.289020071101085, 3.4767418458601407]","[0.3649546589667518, 1.1090204006863307, 0.10031943737295064]","[7.219051819271872, 6.799889572877596, 8.20015055483724]","[10.098524528239064, 10.115462356609807, 10.124623310757475]"
S4,"[3.5077524336834873, 3.9899054411750043, 3.750085551365482]","[0.003668160825341843, 0.23725645110463808, 3.296585077188877e-36]","[23.588331757535766, 33.03208066974948, 13.518250105012907]","[10.145363566949328, 10.161540490153993, 10.175372478645139]"
