bead,C12,b,C6
B,"[4.228963503440395, 3.9235127527863405, 4.639273982739456]","[0.3436475337406843, 0.10276667606375035, 1.3593391168774895]","[9.15765165657855, 6.4281277823884135, 5.792931996594386]"
C,"[2.770885253421657, 3.2321797211625456, 4.253373277744254]","[0.4039140521186685, 0.11795625205436865, 1.2829254585928251]","[6.779140302443928, 6.6984074433895895, 6.907951804917699]"
N,"[4.418057735942801, 3.257291698142859, 3.5427202011843884]","[0.2673008842018932, 0.34165644225200326, 1.462043573794639]","[7.917882851754297, 4.53095771360578, 6.699445363028583]"
S1,"[2.954533311750922, 4.166881161379205, 3.6298965430219003]","[0.1786859620057681, 0.06986560482130343, 1.2886356261693424]","[8.411186016675801, 6.670987994041038, 4.688051343298729]"
S10,"[3.6103189277412184, 3.854015985610244, 2.5135376379244345]","[0.15652079188413273, 0.1448815419306583, 0.8396108619934614]","[10.30650445173369, 9.814788901365763, 11.07894917581552]"
S11,"[6.082664779837375, 2.87414987654877, 2.0836666299832642]","[0.3869694251441933, 0.22383082326858375, 0.7617387515874015]","[6.293311326835796, 13.376933811406255, 7.3471252403321845]"
S12,"[3.603411552686423, 3.2289880009265937, 3.848664111909879]","[0.4410971823434259, 0.3758625347259964, 1.215090227582739]","[6.828581511320299, 7.271802178226245, 6.874110577230578]"
S13,"[6.328215767755132, 2.7953809850752993, 1.9862933511368803]","[0.4015245302085355, 0.2742078927216397, 0.816182112827418]","[6.351051141565562, 12.089829407248322, 7.005982726943222]"
S14,"[3.53692263281574, 3.18142717986435, 3.88226126687956]","[0.3326198502846381, 0.42426650963850476, 1.2932896311698772]","[6.692849803077466, 5.662270025123393, 7.495884868342167]"
S15,"[2.6387702821229193, 3.891921364124911, 5.015644568484882]","[0.14211425959512183, 1.5608489561057207e-35, 0.9836018809129644]","[7.765400026682609, 9.808026248726671, 10.999358696850528]"
S16,"[3.5786733869825675, 3.17341481993085, 4.551154008047536]","[8.330564074697367e-32, 0.6960084299187548, 2.0781917446124822]","[6.557319396231825, 6.991026117162921, 4.281918094400982]"
S17,"[2.8207576960607788, 3.8999170591618832, 2.7906848776860813]","[0.3507234329253017, 0.0737484925133007, 0.9265093532556252]","[7.254922941167627, 9.495396530585055, 8.413046951922118]"
S18,"[2.7718120644506126, 3.91541204259118, 2.6922542436805688]","[0.253987443900307, 0.06334776161606523, 0.8409750264589362]","[7.935386953054627, 9.270367180817226, 9.70836349054882]"
S19,"[2.966418659605039, 2.518720094496481, 4.609899959204669]","[4.32210782276785, 9.999999999999998, 1.0824336456622146]","[2.4888975593997826, 3.6773244373304292, 2.4047188746926276]"
S2,"[3.123703925779061, 4.2441234533667, 3.494759611295942]","[0.004707677443168019, 0.05390235680763675, 0.72685028554931]","[10.927799307926858, 8.091931104690683, 11.650660793603942]"
S20,"[3.302335875171036, 4.299860495794452, 3.7898760731072643]","[1.8801964894069966e-05, 0.1240279328189036, 1.0553034289942993]","[8.062268773355955, 6.344830166832589, 9.65429046629452]"
S21,"[2.747919526998674, 3.741380881743027, 2.8942459178116438]","[0.26969262814812023, 0.13445781567105963, 1.024057950340538]","[3.9292817867638266, 6.938440002210976, 9.806891726273578]"
S22,"[2.693096455492947, 3.7498074528816887, 5.244293253603123]","[0.16782554556651194, 0.011222585872080871, 1.120173777375786]","[6.717796777075192, 8.434150237860008, 7.626258550620305]"
S23,"[3.230251481265227, 1.3647541762182198, 6.5269267462026415]","[9.999571248023676, 9.999999999999053, 7.811519506297941e-23]","[4.010253916913303, 1.4289453501936957, 4.874736431783664]"
S24,"[2.291076566033807, 3.889226770103021, 2.5824382652439595]","[0.36641051923407897, 1.7614667672270288e-37, 0.8087660600745132]","[5.922693224139872, 11.298855743074856, 8.069666261349614]"
S25,"[3.2815711342346576, 4.295291824702676, 4.287951190754342]","[0.39253003271521725, 0.035175273261464524, 0.9518446808682827]","[7.7957540649289845, 9.049687053902858, 7.636633197452571]"
S26,"[2.941438047217317, 4.3827228332539745, 2.9476391985486363]","[0.2688787629690565, 0.09769430512752174, 1.1795039031685766]","[7.593996909303236, 6.7826946745435945, 6.794425132275988]"
S27,"[3.4947436713025395, 3.8551264247581325, 3.7981020999453006]","[0.033514733247125825, 0.14464586478851899, 0.9092633594309589]","[10.862479941557618, 7.090128004189159, 9.983503475800662]"
S28,"[3.254045200381183, 4.337921265957462, 2.7117541618537406]","[0.17721922421944733, 0.11507531172213009, 1.1181172368780679]","[9.469267180169055, 5.69067783407507, 8.038234258891874]"
S29,"[3.9817876752432975, 3.358632844041901, 3.3479506590101646]","[0.21292980370024248, 0.19721636810760568, 1.0234932535174575]","[7.5140268296919, 7.887497472637125, 7.638555686708085]"
S30,"[3.323935942065862, 3.8651796001811927, 4.077916502322119]","[0.1030241950587648, 0.15213972164744774, 0.9716835935941519]","[7.57153561400564, 8.898569858332229, 9.314564889664233]"
S31,"[4.08311691938945, 3.2820569773170964, 3.3999794413100295]","[0.1534774176890538, 0.3690464730800416, 1.1333085260023614]","[7.199811800152951, 6.466413896294314, 8.25473029277252]"
S4,"[4.142624576139162, 4.143526892436667, 4.29916666463161]","[0.10682802386190585, 0.03277201624664881, 0.9385139928458777]","[11.84887622619578, 7.243504745781084, 7.766140679133313]"
S5,"[3.305749484536788, 3.8023870306354413, 4.060540146087331]","[1.0307700801700455e-06, 0.1084931168268702, 0.9823837638437092]","[9.234444786384321, 7.395352636015887, 8.36983471141818]"
S6,"[4.106075263291475, 4.100390615184042, 4.3846886092662904]","[2.003103857525428e-05, 0.15122879561704908, 0.9650913664317505]","[11.199867418037714, 7.224939760798916, 7.397879087906041]"
S7,"[3.3903645825821145, 4.126875398128128, 2.395689669598169]","[0.08755774829303646, 0.19307452227177227, 0.8678725117258388]","[9.999432598826107, 7.465274701671791, 10.47268390830209]"
S8,"[2.835786294697361, 3.8184992600459573, 3.113579037101964]","[0.15362528603145903, 0.1555542302677598, 0.7628020686158316]","[9.589816065913713, 12.243533307186729, 12.843291515537578]"
S9,"[3.990519169986189, 3.9276654188642715, 2.0472554010803536]","[0.16236377151057782, 0.159483640056587, 0.7917883046745732]","[10.136965116452314, 11.054827276531354, 12.169647204129703]"
